token,domain,leg,decision_date,price,outcome,res_date,volume,question,CE,S
108430748466715852616988667809810953079156970963086484559738136168402442879009,other-binary,no,2023-05-10,0.5,0.0,2023-03-31 00:00:00.000,5477607.91,Arbitrum airdrop by March 31st?,-0.5,0
21464812218506609969842830778099561879894555499880561500200821543822228248084,other-binary,yes,2023-05-10,0.5,1.0,2023-03-31 00:00:00.000,5477607.91,Arbitrum airdrop by March 31st?,0.5,0
61779059262007256355647256693654798634992216890386524448184334478854960866382,politics,no,2023-05-22,0.136,0.0,2023-05-28 00:00:00.000,4820090.91,Will Erdoğan win the 2023 Turkish presidential election?,-0.136,0
45684115051063786369424575671570278148366024330058665274769842376099284186094,politics,yes,2023-05-22,0.864,1.0,2023-05-28 00:00:00.000,4820090.91,Will Erdoğan win the 2023 Turkish presidential election?,0.136,0
12378428024728849934843560840433868979543695535836715150168659304994480706119,crypto/financial,no,2024-01-03,0.12,0.0,2024-01-15 00:00:00.000,12622418.42,Bitcoin ETF approved by Jan 15?,-0.12,0
98787006152320761811798607481686168525551752574583108841982899511109091268658,crypto/financial,yes,2024-01-03,0.88,1.0,2024-01-15 00:00:00.000,12622418.42,Bitcoin ETF approved by Jan 15?,0.12,0
78309444736185544262992162576931418260050379456195987873071545690014436803266,crypto/financial,yes,2024-05-17,0.1,1.0,2024-05-31 12:00:00.000,13226512.33,Ethereum ETF approved by May 31?,0.9,0
23628364072962630623049997607797594706315014345591676763062815858513969547631,crypto/financial,no,2024-05-17,0.9,0.0,2024-05-31 12:00:00.000,13226512.33,Ethereum ETF approved by May 31?,-0.9,0
7780745447308118846657530641252971575724733371841809012263136232028260764382,other-binary,no,2024-06-19,0.8355,1.0,2024-06-21 12:00:00.000,6383820.76,Is $DJT real?,0.16449999999999998,0
25268469546616693540086806144992245100463987561041279229129139969221559454738,other-binary,yes,2024-06-19,0.1645,0.0,2024-06-21 12:00:00.000,6383820.76,Is $DJT real?,-0.1645,0
19339103346236041083747148574620254216168165151337375810887863955521343395841,politics,no,2024-06-28,0.965,1.0,2024-07-04 12:00:00.000,4490151.55,Biden drops out by July 4? ,0.03500000000000003,0
60000255314413297959092010551321835608454135565914999759137183744429056568944,politics,yes,2024-06-28,0.035,0.0,2024-07-04 12:00:00.000,4490151.55,Biden drops out by July 4? ,-0.035,0
105698626207188362137224559516875335051389535882173153619615964622033134253951,other-binary,yes,2024-11-09,0.305,0.0,2024-07-20 00:00:00.000,32399877.164035,Will Mike Tyson win his boxing match against Jake Paul?,-0.305,0
